,eventID,groupID,RP_hit_in_group,Max_line_no
17910,20008702,4,3,2
17941,20008716,5,3,2
17980,20008735,2,3,1
17986,20008739,1,3,2
18004,20008748,1,3,3
18025,20008757,5,3,1
18026,20008758,1,3,2
18028,20008759,2,3,1
18039,20008765,2,3,1
18044,20008767,4,3,1
18058,20008773,5,3,1
18074,20008780,5,3,3
18081,20008784,2,3,1
18086,20008786,5,3,1
18091,20008788,3,3,3
18102,20008793,5,3,1
18171,20008828,5,3,1
18175,20008830,5,3,2
18192,20008839,2,3,1
18200,20008843,1,3,1
18213,20008848,5,3,2
18235,20008860,2,3,1
18275,20008876,5,3,1
18329,20008903,1,3,3
18362,20008918,4,3,1
18372,20008922,5,3,1
18404,20008939,2,3,2
18532,20009006,4,3,4
18569,20009026,2,3,1
18575,20009029,2,3,1
18596,20009039,4,3,1
18597,20009040,2,3,1
18609,20009045,4,3,2
18636,20009059,1,3,1
18658,20009070,2,3,1
18662,20009071,1,3,4
18670,20009075,2,3,1
18679,20009079,1,3,1
18690,20009084,4,3,1
18733,20009107,4,3,1
18739,20009110,4,3,2
18740,20009110,6,3,1
18744,20009112,5,3,1
18781,20009127,5,3,2
18804,20009139,2,3,1
18819,20009145,5,3,1
18822,20009147,1,3,1
18832,20009152,1,3,1
18916,20009189,4,3,1
18974,20009219,4,3,2
19031,20009246,5,3,1
19073,20009264,2,3,1
19105,20009278,1,3,1
19108,20009279,5,3,1
19140,20009296,2,3,3
19145,20009298,5,3,1
19189,20009320,1,3,1
19190,20009320,5,3,1
19195,20009324,1,3,2
19292,20009370,5,3,1
19327,20009387,2,3,2
19333,20009390,1,3,1
19349,20009399,5,3,1
19370,20009410,2,3,1
19396,20009421,1,3,2
19488,20009464,4,3,1
19526,20009483,1,3,1
19566,20009502,1,3,1
19608,20009525,5,3,1
19650,20009545,4,3,1
19679,20009558,4,3,1
19684,20009561,1,3,1
19730,20009585,1,3,2
19745,20009593,5,3,1
19824,20009634,1,3,1
19883,20009662,3,3,4
19899,20009670,2,3,1
19925,20009682,5,3,4
19972,20009706,2,3,3
19994,20009715,5,3,1
20017,20009728,1,3,2
20023,20009731,2,3,1
20036,20009737,2,3,1
20069,20009753,5,3,1
20079,20009759,1,3,1
20114,20009774,2,3,1
20122,20009778,5,3,2
20135,20009784,4,3,1
20151,20009793,1,3,1
20180,20009806,1,3,1
